"","Countryname","Country","EMERGING_RISK_COVID_RESPONSE_CAPACITY_AV","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_ALT","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_SQ","EMERGING_RISK_FOOD_SECURITY_SQ","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_SQ","EMERGING_RISK_FISCAL_SQ","EMERGING_RISK_NATURAL_HAZARDS_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_SQ","TOTAL_EMERGING_COMPOUND_RISK_SCORE_SQ","EXISTING_RISK_COVID_RESPONSE_CAPACITY","EXISTING_RISK_FOOD_SECURITY","EXISTING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EXISTING_RISK_FISCAL","EXISTING_RISK_SOCIOECONOMIC_VULNERABILITY","EXISTING_RISK_NATURAL_HAZARDS","EXISTING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EXISTING_COMPOUND_RISK_SCORE","TOTAL_EXISTING_COMPOUND_RISK_SCORE_INCMEDIUM","EMERGING_RISK_COVID_RESPONSE_CAPACITY","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_FISCAL","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EMERGING_COMPOUND_RISK_SCORE","TOTAL_EMERGING_COMPOUND_RISK_SCORE_INCMEDIUM","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","RELIABILITY_SCORE_EXISTING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"1","Libya","LBY",4.36093372637666,10,1.60800780774854,9.0424924152574,3.16227766016838,9.41275730060007,5.29318241411458,2.22042276040793,10,10,0,8.17666690799876,4,8.86,3.42105263157895,10,NA,4.375,9,10,2,2,10,1.44115796098175,10,10,0,6.6857881724362,3,3,8.17666690799876,0.1,0.2
"2","Sudan","SDN",0.45282208045,3.55737350158149,10,9.97975626041489,2.44300101683441,6.45865974597559,4.62608786205682,9.20285294734634,4.56546771261668,10,9.93929691148022,10,4,8.76,10,2.10131332082551,NA,8.125,6.875,10,2,3.5,4.76190476190474,9.20285294734634,10,9.91927059538026,9.93929691148022,10,2,3.5,9.95955350172901,0.1,0.2
"3","Afghanistan","AFG",0.529132674414134,8.50222714917156,10,10,1.53185513570936,4.2063302749862,3.39855671178937,10,10,10,10,10,5,7.54,10,10,10,6.45833333333333,9.75,10,4,4,2.34658015679913,10,10,10,10,10,5,5,10,0,0.1
"4","Mozambique","MOZ",1.93876702552061,1.88042376762801,2.99430993395815,8.60092280587901,4.30331482911934,8.07327552965819,6.00514598224057,10,7.68158010081424,10,10,9.39405680260421,6,8.38,10,8.87429643527204,10,5.20833333333333,6.875,9.32624113475177,2,3,7.77777777777778,10,10,6.64916630581503,10,9.46236559139785,3,4,7.93201377101844,0,0.1
"5","Niger","NER",0.1087892885778,5.99430581051323,3.39807215610019,9.0270596682248,0.151185789203682,8.48528137423855,1.06909520922125,10,0,2.89827534923789,9.52571542925756,8.53213285146665,4,7.56,10,0,7,6.45833333333333,7.875,9.85815602836879,1,3,9.52380952380948,10,1.2,9.25282496404618,9.52571542925756,7.38447340309769,1,3,8.26602926746073,0,0.1
"6","Algeria","DZA",0.771594795940081,5.45193808142865,2.8797190127298,7.82434731774522,1.64765345408611,4.70055721114402,3.91027160871456,1.4265073118426,4.45155148798075,10,3.12187312387432,8.27283000623467,2,9.28,2.96650717703349,2.4765478424015,NA,0,4.875,6.84397163120567,0,0.5,2.38095238095237,0.685966016362492,10,8.00158604282316,3.12187312387432,10,2,2.5,8.94515849095093,0.1,0.2
"7","Ethiopia","ETH",0.887612446332449,7.00613669596611,10,9.92882471814706,1.06037729134492,2.57127828132235,2.49700189689719,10,6.43920916216785,10,10,9.92882471814706,4,5.88,10,4.14634146341463,10,3.54166666666667,5.875,9.85815602836879,2,2,1.1244,10,10,10,10,10,5,5,10,0,0.1
"8","Iraq","IRQ",3.18435085116381,9.82656324366696,4.16503508896488,10,6.90065559342353,9.40212741883453,7.81036461670414,2.50692729821131,5.74635866429225,10,10,10,4,8.84,5.90909090909091,3.30206378986867,NA,10,8.25,10,2,2,10,1.06356198867212,10,10,10,10,5,5,10,0.1,0.3
"9","South Sudan","SSD",0.18281300876219,7.54657081084319,10,9.59545680291137,6.62993544131794,9.59166304662542,8.00282302460396,0.0146842878120417,0,10,10,10,4,9.66,10,0,10,8.125,6.75,10,3,4,9.52380952380948,0.0146842878120417,10,8.47739888977002,10,10,3,4,9.2072791256538,0,0.1
"10","Central African Republic","CAF",0.950602299081753,1.32459330218816,10,9.84226416717799,1.6887022824652,7.81024967590664,3.79756731240578,NA,7.07107754916866,10,7.07090921219399,10,5,8.54,10,5.32833020637899,10,10,6.375,10,4,5.5,7.14285714285711,NA,10,9.38382866108743,7.07090921219399,10,2,3.5,9.68701639365158,0,0.2
"11","Chad","TCD",1.34252994416766,3.66183344440634,5.03752583820995,9.87458798513567,9.75900072948531,9.07744457432817,8.96739460551162,10,0,10,9.07210993262624,10,5,8.24,10,0,10,6.04166666666667,5.875,10,3,4,10,10,10,9.50771019192449,9.07210993262624,10,4,5,9.75074878761857,0,0.1
"12","Croatia","HRV",3.12832875052967,0,1.55905225820602,5.77893847952745,4.82167724226449,5.71078768647548,4.01302902919521,3.22634984234962,7.03782330326856,10,10,5.14777267724601,3,3.34,1.2200956937799,4.953095684803,NA,8.125,2.375,4.20875420875421,0,1,9.7644,8.53157121879589,10,10,10,6.2962962962963,3,4,7.93492047615872,0.1,0.2
