"Countryname","Country"," ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_AV","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","  ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","   ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_ALT","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_SQ","EMERGING_RISK_FOOD_SECURITY_SQ","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_SQ","EMERGING_RISK_FISCAL_SQ","EMERGING_RISK_NATURAL_HAZARDS_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_SQ","    ","TOTAL_EMERGING_COMPOUND_RISK_SCORE_SQ"
"Afghanistan","AFG",NA,0.529132674414134,8.50222714917156,10,NA,10,10,NA,1.53185513570936,4.2063302749862,3.39855671178937,10,10,10,10,10,NA,5
"Angola","AGO",NA,1.39853931323351,2.38768054744307,6.20253086615016,NA,9.15475598194295,9.52995770124013,NA,4.38471573731059,6.53197264742179,6.26793849732932,1.31529263687854,2.06394144907901,10,3.53545460609699,9.37780690840601,NA,2
"Albania","ALB",NA,2.11185009508687,7.27364677457227,0.922897311106767,NA,4.56800009848679,3.44299310846292,NA,3.16227766016838,5.84807660688538,3.2886151489306,2.83397107544037,6.56395180569673,10,10,2.99644383316996,NA,2
"United Arab Emirates","ARE",NA,2.03323281239413,4.55879071693839,2.32002324160472,NA,3.35744610823008,7.39262630755056,NA,6.90065559342353,6.82641926635041,5.67071909596602,1.26358728447854,6.6191741093892,10,0,3.60405748637794,NA,1
"Argentina","ARG",NA,4.3372198147884,5.03082721173089,1.60481345766224,NA,5.19081676585191,6.6687832274207,NA,8.45154254728515,4.77493455452533,4.38970579968751,4.44649802217571,4.46609232668316,10,0,4.44693343308797,NA,1
"Armenia","ARM",NA,2.85463039660436,9.81643607064002,1.72150902844851,NA,8.6066296582387,10,NA,10,6.29285308902091,6.29285308902091,2.11259316846939,8.67378357903775,10,1.53425388566473,8.6066296582387,NA,3
"Antigua and Barbuda","ATG",NA,0.160685683788979,10,1.46447582969033,NA,7.15632442039257,9.81306762925316,NA,0.000666666666667481,0.0739369100427746,0.0739369100427746,NA,4.62475596435435,10,3.3620172103262,7.08912144403208,NA,2
"Australia","AUS",NA,0.997137726033927,5.77945221530955,1.45796053281789,NA,1.22714257372711,4.47246032187314,NA,2.93379325398754,0,0,1.14577634566987,5.44617716576345,10,0,0.845994506762865,NA,1
"Austria","AUT",NA,3.57072008677243,8.26233218112194,0.468543144927459,NA,1.20294113875247,1.4470673833031,NA,4.87950036474266,4.79583152331272,3.35005236360689,0,4.14487252510697,10,0,0,NA,1
"Azerbaijan","AZE",NA,1.78965686452835,5.16779118224874,0.297110754428474,NA,7.29931502439613,7.9120799740682,NA,4.31724118258076,7.1514234347336,5.55980636958503,3.82492316886297,4.32881755044847,10,2.89507037555867,7.40740740740741,NA,3
"Burundi","BDI",NA,0.135522182680133,4.28572785235157,2.72165526975909,NA,10,10,NA,0.261861468283208,6.70465367878019,1.57225069902783,NA,4.41726104299386,10,4.37595890867854,10,NA,2
"Belgium","BEL",NA,3.18843108837416,8.08856004514518,0.415111600525707,NA,1.02819412263657,1.25593358674337,NA,4.87950036474266,4.24264068711929,2.96362964226922,0,4.14417608344447,10,0,0.380852358885344,NA,1
"Benin","BEN",NA,0.91461010385465,2.79478806743591,2.33977575818544,NA,6.91433938358093,7.36714815814066,NA,0.799999999999994,7.67184090405573,2.56748904574098,3.91185040801069,8.39458936366201,8.36660026534076,3.26862784337269,6.12445332282352,NA,3
"Burkina Faso","BFA",NA,0.472721946736668,4.25231320371179,1.96798967126543,NA,9.19712077609975,9.81627268345133,NA,9.75900072948531,8.93308457365092,8.82478474645658,5.91718235,7.74732993034289,5.29150262212918,6.53725568674538,9.28279121632914,NA,3
"Bangladesh","BGD",NA,1.0762925523096,5.75224675159978,1.98631315324959,NA,8.08726382339477,7.74953016557627,NA,2.18828047301332,4.08248290463862,3.91381697465444,3.59630572040861,0,2.68328157299975,10,8.47902586947924,NA,2
"Bulgaria","BGR",NA,2.20852347691489,8.81833824882544,2.90221154564563,NA,5.94588390010563,10,NA,3.20713490294909,4.59147035273016,3.95611151591958,2.5341847754028,5.81129133169545,10,0,5.94588390010563,NA,1
"Bahrain","BHR",NA,6.78853630693648,5.01223500475973,1.20077797637128,NA,4.29031822027347,3.50724742000092,NA,6.90065559342353,7.82304288624318,6.49861617821456,0.670344156895743,5.59722771351944,10,0,3.1336680232224,NA,2
"Bahamas","BHS",NA,1.89466340994946,9.24868089253629,0.929505165151245,NA,3.00170996893491,2.73214418495066,NA,10,8.87693640846886,8.87693640846886,3.06385451596809,10,10,10,1.56899129836403,NA,4
"Bosnia and Herzegovina","BIH",NA,1.54589795183561,7.85534377289582,0.957302803951345,NA,7.13546845613529,7.20082299823096,NA,4.87950036474266,7.37563556583431,5.15213373120303,1.77874874911406,8.92957646447449,10,10,6.05499178792296,NA,4
"Belarus","BLR",NA,1.52224947769606,6.69147916309425,5.45158849359947,NA,7.0816498805162,8.95078084716498,NA,2.02859557329695,5.34410778334419,3.75212650088998,2.49601334440127,4.73249815793558,10,0,7.48521000335503,NA,2
"Belize","BLZ",NA,2.82366317888807,10,1.75771196377529,NA,7.70753070883104,8.6066296582387,NA,10,8.74070935336486,8.74070935336486,4.27443530036607,9.2495119287087,10,4.46934827563205,7.15042443824758,NA,4
"Bolivia","BOL",NA,6.02046613090961,8.22466098057397,2.06615026927469,NA,7.11420078113866,7.39509972887452,NA,6.90065559342353,8.27042925125413,6.8702608581492,7.21281048384577,6.06407314553894,10,2.49483023147222,6.1178402936131,NA,3
"Brazil","BRA",NA,3.6541955544944,4.87967231092493,1.184589912787,NA,5.46237303401854,4.47562787441593,NA,4.87950036474266,4.53872228716409,3.17045276756647,3.52484517395457,5.66414614878065,10,10,3.65433485696544,NA,2
"Barbados","BRB",NA,0.316118645467696,5.64050300437171,1.50012866840448,NA,4.51230654818232,7.36125221603187,NA,2.17606022325626,8.51888658050031,4.07204848954586,4.26401432711221,6.09998316253028,8,1.38749916616637,4.29414907892783,NA,2
"Brunei Darussalam","BRN",NA,0.367097771585075,4.29668924423659,2.28178848570056,NA,5.40191594227108,6.66666666666667,NA,0.0816496580928225,8.64869932417586,0.781498203794681,3.34123821926567,2.80712040231545,10,0,4.41064589732332,NA,2
"Bhutan","BTN",NA,0.312130751680205,1.89875935074807,3.69045588744756,NA,7.74129684205989,9.76855772064854,NA,2.10807969488822,7.70713954719908,3.53864287370681,8.3580176674941,4.55717637332791,10,2.3880995263825,7.83246562268207,NA,4
"Botswana","BWA",NA,4.27809002644279,8.33129285768346,2.138008720028,NA,6.8657153405925,10,NA,9.19456258294568,8.60785908895108,8.45775956712636,7.50197077799245,5.23374818605623,10,2.94843572810353,6.8657153405925,NA,3
"Central African Republic","CAF",NA,0.950602299081753,1.32459330218816,10,NA,9.84226416717799,9.68701639365158,NA,1.6887022824652,7.81024967590664,3.79756731240578,NA,7.07107754916866,10,7.07090921219399,10,NA,5
"Canada","CAN",NA,2.52613999572898,3.7826557163926,0.922459493254172,NA,1.1658949638998,2.69143591235691,NA,4.80904952767928,0,0,1.14546970138613,3.74899162209225,0,0,0.655563415902743,NA,0
"Switzerland","CHE",NA,3.97100639475404,0,1,NA,1.6470406669282,2.7127429585153,NA,4.87950036474266,2.44948974278318,1.71105237174249,0,0,10,0,0,NA,1
"Chile","CHL",NA,4.10169582702079,0,1.87101647861406,NA,3.38184305456036,5.56068139600214,NA,6.90065559342353,4.83735464897913,4.01839944363562,3.33198055864021,3.89425827475057,10,0,3.34251428061825,NA,1
"China","CHN",NA,0.438845848283221,5.21430160281247,1.14787442333072,NA,6.03160899264778,5.93020033834305,NA,0.0845154254728531,3.22194853791185,0.607031510765001,2.13859968930822,4.19249806659938,10,10,5.83797518791578,NA,2
"Côte d'Ivoire","CIV",NA,0.386142905346792,4.9117632014436,0.396955433047714,NA,9.32328499551254,9.50095633966237,NA,0.586003412959344,1.53930503799604,2.01082658362661,5.96811790606272,8.51231201185888,8.36660026534076,4.40264158495097,9.38620619975244,NA,3
"Cameroon","CMR",NA,1.03122610413265,5.23915442187326,1.83563991747256,NA,8.42223622114704,7.09340629648011,NA,1.07990299387976,4.11732691832709,2.77288826252049,5.46884833228446,6.64400759552489,10,5.36321793075846,7.19397284745155,NA,2
"Congo DR","COD",NA,0.409493865729412,7.89278592770637,10,NA,10,10,NA,0.681385143869243,7.88307409218364,2.43475886930563,NA,0,8.36660026534076,7.31105329864586,10,NA,4
"Congo","COG",NA,0.981442678614004,2.46781045189797,2.10775214120053,NA,9.10229644381658,8.63402974164262,NA,2.51837217169713,4.97185603824646,4.83430385405689,5.91350848030804,0,1.41421356237309,7.00420252151291,8.54704805482526,NA,2
"Colombia","COL",NA,4.38845848283219,6.39728925011767,1.19303173324167,NA,6.90790934025522,6.62897420187107,NA,8.45154254728515,7.18331399842719,6.60378372934724,4.4329278349025,4.70375354190984,10,5.53665532652925,5.7439967634015,NA,2
"Comoros","COM",NA,0.0683826058131957,2.1252682856515,4.01933596392112,NA,6.19999217906647,3.93677627485661,NA,0.0327999999999999,0.529875457065148,0.529875457065148,NA,3.91225253800218,4.58257569495584,0,7.80023964113409,NA,1
"Cabo Verde","CPV",NA,5.53633780085698,8.23619064310756,3.20910793178299,NA,5.66489887975328,5.66489887975328,NA,9.75900072948531,9.02219485491197,8.91281470344865,0.792098207390254,10,10,2.73497431792409,3.20910793178299,NA,3
"Costa Rica","CRI",NA,4.93577299209591,5.38111442244329,1.74972831333214,NA,3.34706311059873,6.5816634864694,NA,6.90065559342353,7.05691150575094,5.86218942505692,1.27188071966242,4.50241133044515,1.6,1.10733106530585,3.6385121527321,NA,1
"Cuba","CUB",NA,1.0211879260478,NA,3.08717721138751,NA,6.73721536853215,10,NA,2.23798378648537,5.75698333703138,3.94669065850596,3.60031547476069,NA,NA,10,6.73721536853215,NA,1
"Cyprus","CYP",NA,0.312978248544577,8.39782159989747,2.46834316059365,NA,6.07477689037252,8.81917103688197,NA,3.33016516106934,7.34846922834953,4.24062399533069,2.37888032226499,7.6017179849493,10,0,5.70484980246768,NA,3
"Czech Republic","CZE",NA,4.70070835868278,4.51298289941646,5.42943660659577,NA,4.08853621784139,9.0267093384844,NA,6.90065559342353,6,4.98421108464767,0,3.96986774416873,10,0,3.88447721544501,NA,1
"Germany","DEU",NA,1.34393776863871,2.62611354557892,0.826968878211701,NA,0.894466694870843,2.37620988465251,NA,2.91857760528913,1.69176830564945,1.52802555090918,0,3.69209922279945,10,0,0.479856012891353,NA,1
"Djibouti","DJI",NA,0.891927216589006,7.60139608981675,2.45117572704593,NA,8.99172196132572,10,NA,1.56185914048238,6.67618368317023,3.82348029351729,10,0,10,7.76465879527717,8.99172196132572,NA,4
"Dominica","DMA",NA,0.531278829080694,10,0.786829296755221,NA,2.20709376080757,2.20709376080757,NA,7.96804732197,9.3605046668995,8.56189437929037,NA,9.97181769877669,0,5.17643919685144,0.487126286899569,NA,2
"Denmark","DNK",NA,3.78630023124083,7.31433617259424,0.217309642514125,NA,0.827372512101201,0.684545273780652,NA,6.90065559342353,0,0,0,4.48406038292074,10,0,0,NA,1
"Dominican Republic","DOM",NA,3.25280244500077,0,2.32107163395235,NA,6.43076691717938,7.01849408771278,NA,4.87950036474266,7.96241169495775,5.56201692845936,4.24142758399719,5.52610497073592,10,3.64218531118671,6.76968662049936,NA,2
"Algeria","DZA",NA,0.771594795940081,5.45193808142865,2.8797190127298,NA,7.82434731774522,8.94515849095093,NA,1.64765345408611,4.70055721114402,3.91027160871456,1.4265073118426,4.45155148798075,10,3.12187312387432,8.27283000623467,NA,2
"Ecuador","ECU",NA,6.02046613090961,8.28895472795833,2.3672148670591,NA,7.26632896006378,8.6066296582387,NA,6.90065559342353,6.308724118235,5.24066878001517,3.2301430071688,5.19777698189052,8.4,3.30865185778134,6.74111309253106,NA,1
"Egypt","EGY",NA,0.778018319653862,2.51504040801254,1.26979227575105,NA,8.47221889372937,8.32984980299619,NA,0.934174117399367,2.2920604955685,2.37144010819253,1.20691142187877,7.57097308943335,10,2.41478220265493,9.10926579940751,NA,3
"Eritrea","ERI",NA,0.299528844434601,4.8762967026351,10,NA,10,10,NA,4.41897725190929,9.52190457139045,6.48603603429525,6.64828596814576,NA,7,8.80528316990194,10,NA,4
"Spain","ESP",NA,4.44291153265773,8.50097918269996,1.66475653745896,NA,2.84390405634195,4.30331482911935,NA,3.16227766016838,2.86356421265527,1.61030049411222,0,6.06407314553894,10,0,1.86559126965027,NA,1
"Estonia","EST",NA,1.98050218285855,6.38129512581427,0.25844383899889,NA,3.8304847244293,9.62250448649377,NA,5.2316452439146,4.30945803685666,3.68812657512971,2.66630505536231,5.74635866429225,10,0,3.75748967500055,NA,1
"Ethiopia","ETH",NA,0.887612446332449,7.00613669596611,10,NA,9.92882471814706,10,NA,1.06037729134492,2.57127828132235,2.49700189689719,10,6.43920916216785,10,10,9.92882471814706,NA,4
"Finland","FIN",NA,2.32063307594473,3.69520112016819,0.556116046943338,NA,1.23356567027136,1.52168426287202,NA,9.75900072948531,1.61245154965971,1.59290306976482,1.16186949821487,4.10568986614332,10,0,0,NA,1
"Fiji","FJI",NA,1.58489319246111,6.6708053807488,4.661384971728,NA,7.17042774809075,8.38094775349498,NA,0,9.41275730060007,0,0,8.86667425853945,10,10,6.90758539669314,NA,4
